"External ID";"name";"Asset Code";"type";"is_cip";"Journal";"Asset Account";"Depreciation Entries: Asset Account";"Depreciation Entries: Expense Account";"method_time";"method_number";"method_period";"method";"prorata";"open_asset";"first_day_of_month";"method_end"
asset_building_property_investment_-_internal_audit;Building Property Investment - Internal Audit;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110310";number;60;1;linear;true;false;true;
asset_building_property_investment_-_it;Building Property Investment - IT;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110311";number;60;1;linear;true;false;true;
asset_building_property_investment_-_bod;Building Property Investment - BOD;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110312";number;60;1;linear;true;false;true;
asset_building_property_investment_-_vehicle;Building Property Investment - Vehicle;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110313";number;60;1;linear;true;false;true;
asset_building_property_investment_-_budget;Building Property Investment - Budget;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110314";number;60;1;linear;true;false;true;
asset_building_property_investment_-_tax;Building Property Investment - Tax;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110315";number;60;1;linear;true;false;true;
asset_building_property_investment_-_marketing_ho;Building Property Investment - Marketing HO;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110316";number;60;1;linear;true;false;true;
asset_building_property_investment_-_corpcom_&_customer_relation;Building Property Investment - Corpcom & Customer Relation;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110317";number;60;1;linear;true;false;true;
asset_building_property_investment_-_mpd;Building Property Investment - MPD;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110318";number;60;1;linear;true;false;true;
asset_building_property_investment_-_ga_ho;Building Property Investment - GA HO;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110319";number;60;1;linear;true;false;true;
asset_building_property_investment_-_secretary;Building Property Investment - Secretary;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110320";number;60;1;linear;true;false;true;
asset_improvement_building_-_penjualan_unit;Improvement Building - Penjualan Unit;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110101";number;240;1;linear;true;false;true;
asset_improvement_building_-_administrasi_unit;Improvement Building - Administrasi Unit;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110102";number;240;1;linear;true;false;true;
asset_improvement_building_-_penjualan_service;Improvement Building - Penjualan Service;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110103";number;240;1;linear;true;false;true;
asset_improvement_building_-_administrasi_service;Improvement Building - Administrasi Service;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110104";number;240;1;linear;true;false;true;
asset_improvement_building_-_accounting;Improvement Building - Accounting;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110105";number;240;1;linear;true;false;true;
asset_improvement_building_-_finance;Improvement Building - Finance;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110106";number;240;1;linear;true;false;true;
asset_improvement_building_-_collection;Improvement Building - Collection;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110107";number;240;1;linear;true;false;true;
asset_improvement_building_-_hr;Improvement Building - HR;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110108";number;240;1;linear;true;false;true;
asset_improvement_building_-_legal;Improvement Building - Legal;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110109";number;240;1;linear;true;false;true;
asset_improvement_building_-_internal_audit;Improvement Building - Internal Audit;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110110";number;240;1;linear;true;false;true;
asset_improvement_building_-_it;Improvement Building - IT;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110111";number;240;1;linear;true;false;true;
asset_improvement_building_-_bod;Improvement Building - BOD;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110112";number;240;1;linear;true;false;true;
asset_improvement_building_-_vehicle;Improvement Building - Vehicle;AssetCode|B;fixed;false;Journal Depreciation;"142102";"151102";"60110113";number;240;1;linear;true;false;true;
